Model Year,avg_electric_range
1998,58.0
2000,58.0
2002,95.0
2008,220.0
2010,245.0
2011,72.77889447236181
2012,71.99230769230769
2013,83.33187772925764
2014,84.36652078774617
2015,100.27567140600316
2016,104.25
2017,115.41758241758242
2018,160.29374389051807
2019,180.57081545064378
2020,242.02006079027356
2021,11.085517505261144
2022,4.132471521822604
2023,4.309332380441903
2024,17.860019175455417
